age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
48,technician,married,secondary,no,0,yes,yes,unknown,15,may,16.6,2,-1,0,unknown,no
38,entrepreneur,single,secondary,no,9250,no,no,cellular,5,feb,6.5,1,-1,0,unknown,no
33,technician,married,tertiary,no,750,no,no,cellular,21,aug,2.1,2,-1,0,unknown,no
36,blue-collar,divorced,primary,yes,0,yes,no,cellular,11,may,2.1,2,305,1,failure,no
47,admin.,married,tertiary,no,4850,yes,no,cellular,8,feb,6.2,3,-1,0,unknown,no
42,technician,married,secondary,no,67750,no,no,cellular,13,aug,2.4,6,-1,0,unknown,no
37,technician,single,secondary,no,50600,yes,no,cellular,20,apr,4.1,4,-1,0,unknown,no
59,management,divorced,tertiary,no,0,yes,no,cellular,31,jul,1.4,8,-1,0,unknown,no
51,blue-collar,married,primary,no,0,no,no,cellular,20,nov,1.9,1,-1,0,unknown,no
51,services,married,primary,no,14700,no,no,unknown,16,jun,2.4,2,-1,0,unknown,no
33,admin.,married,unknown,no,33200,no,no,cellular,28,jan,5.4,3,-1,0,unknown,no
30,management,married,tertiary,no,8400,yes,no,cellular,18,may,4.3,2,355,1,failure,no
29,services,married,tertiary,no,300,yes,no,unknown,28,may,2.9,2,-1,0,unknown,no
27,admin.,single,secondary,no,-10750,yes,no,unknown,20,may,2.0,3,-1,0,unknown,no
42,management,married,tertiary,no,14750,yes,no,cellular,26,aug,2.3,3,-1,0,unknown,no
45,management,married,tertiary,no,31150,no,no,cellular,9,sep,7.3,3,-1,0,unknown,no
59,retired,divorced,tertiary,no,19050,yes,no,unknown,8,may,7.5,4,-1,0,unknown,no
60,retired,married,primary,no,401250,no,no,cellular,28,jan,3.7,1,-1,0,unknown,no
44,management,married,tertiary,no,92900,no,no,cellular,6,aug,2.4,4,-1,0,unknown,no
30,services,single,secondary,no,0,yes,no,cellular,7,jul,3.2,2,-1,0,unknown,no
36,management,married,tertiary,no,36100,yes,no,unknown,30,may,5.7,1,-1,0,unknown,no
36,blue-collar,married,primary,no,2950,yes,no,cellular,6,may,4.3,2,-1,0,unknown,no
38,entrepreneur,married,primary,no,33300,yes,no,unknown,20,may,24.7,10,-1,0,unknown,no
53,management,married,secondary,no,0,yes,yes,cellular,22,jul,1.5,1,-1,0,unknown,no
27,management,single,tertiary,no,54050,no,yes,cellular,30,jan,3.1,3,206,2,other,no
52,blue-collar,married,primary,no,32450,yes,yes,unknown,20,jun,0.6,20,-1,0,unknown,no
56,management,married,tertiary,no,42800,yes,yes,cellular,4,feb,1.7,4,7,7,other,no
35,self-employed,married,tertiary,no,67000,no,yes,cellular,19,nov,3.3,1,-1,0,unknown,no
58,housemaid,single,secondary,no,574700,no,no,telephone,4,mar,4.2,7,-1,0,unknown,no
33,self-employed,single,tertiary,no,67700,yes,no,cellular,20,nov,2.7,2,-1,0,unknown,no
33,entrepreneur,married,tertiary,no,30300,yes,no,cellular,2,feb,3.7,1,-1,0,unknown,no
38,admin.,married,secondary,no,-14750,no,no,cellular,14,jul,6.4,3,-1,0,unknown,no
40,admin.,single,secondary,no,83500,yes,no,unknown,18,jun,3.2,2,-1,0,unknown,no
48,blue-collar,married,secondary,no,104150,no,no,cellular,8,aug,2.0,3,-1,0,unknown,no
40,management,single,tertiary,no,0,no,yes,cellular,17,nov,11.5,1,-1,0,unknown,no
